src,average_scc,out_degree,in_degree,bi_degree,bi_degree_density,in_degree_density,out_degree_density,label
18816,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18817,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18818,0,0.0,2.0,0.0,0.0,1.0,0.0,1
18819,0,0.0,2.0,0.0,0.0,1.0,0.0,1
18820,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18821,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18822,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18823,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18824,0,0.0,4.0,0.0,0.0,1.0,0.0,1
18825,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18826,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18827,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18828,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18829,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18830,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18831,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18832,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18833,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18834,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18835,0,0.0,1.0,0.0,0.0,1.0,0.0,0
18836,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18837,0,0.0,2.0,0.0,0.0,1.0,0.0,1
18838,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18839,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18840,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18841,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18842,0,0.0,3.0,0.0,0.0,1.0,0.0,1
18843,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18844,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18845,0,0.0,3.0,0.0,0.0,1.0,0.0,1
18846,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18847,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18848,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18849,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18850,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18851,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18852,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18853,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18854,0,0.0,2.0,0.0,0.0,1.0,0.0,1
18855,0,0.0,3.0,0.0,0.0,1.0,0.0,1
18856,0,0.0,1.0,0.0,0.0,1.0,0.0,0
18857,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18858,0,0.0,2.0,0.0,0.0,1.0,0.0,1
18859,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18860,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18861,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18862,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18863,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18864,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18865,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18866,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18867,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18868,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18869,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18870,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18871,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18872,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18873,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18874,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18875,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18876,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18877,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18878,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18879,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18880,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18881,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18882,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18883,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18884,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18885,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18886,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18887,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18888,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18889,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18890,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18891,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18892,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18893,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18894,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18895,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18896,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18897,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18898,0,0.0,2.0,0.0,0.0,1.0,0.0,1
18899,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18900,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18901,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18902,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18903,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18904,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18905,0,0.0,2.0,0.0,0.0,1.0,0.0,1
18906,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18907,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18908,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18909,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18910,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18911,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18912,0,0.0,2.0,0.0,0.0,1.0,0.0,1
18913,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18914,0,0.0,1.0,0.0,0.0,1.0,0.0,0
18915,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18916,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18917,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18918,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18919,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18920,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18921,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18922,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18923,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18924,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18925,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18926,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18927,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18928,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18929,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18930,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18931,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18932,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18933,0,0.0,2.0,0.0,0.0,1.0,0.0,1
18934,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18935,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18936,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18937,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18938,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18939,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18940,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18941,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18942,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18943,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18944,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18945,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18946,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18947,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18948,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18949,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18950,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18951,0,0.0,2.0,0.0,0.0,1.0,0.0,1
18952,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18953,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18954,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18955,0,0.0,5.0,0.0,0.0,1.0,0.0,1
18956,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18957,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18958,0,0.0,2.0,0.0,0.0,1.0,0.0,1
18959,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18960,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18961,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18962,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18963,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18964,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18965,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18966,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18967,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18968,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18969,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18970,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18971,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18972,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18973,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18974,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18975,0,0.0,3.0,0.0,0.0,1.0,0.0,1
18976,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18977,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18978,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18979,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18980,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18981,0,0.0,1.0,0.0,0.0,1.0,0.0,0
18982,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18983,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18984,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18985,0,0.0,5.0,0.0,0.0,1.0,0.0,1
18986,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18987,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18988,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18989,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18990,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18991,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18992,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18993,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18994,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18995,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18996,0,0.0,1.0,0.0,0.0,1.0,0.0,1
18997,0,0.0,2.0,0.0,0.0,1.0,0.0,1
18998,0,0.0,3.0,0.0,0.0,1.0,0.0,1
18999,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19000,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19001,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19002,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19003,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19004,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19005,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19006,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19007,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19008,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19009,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19010,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19011,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19012,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19013,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19014,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19015,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19016,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19017,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19018,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19019,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19020,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19021,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19022,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19023,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19024,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19025,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19026,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19027,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19028,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19029,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19030,0,0.0,5.0,0.0,0.0,1.0,0.0,1
19031,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19032,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19033,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19034,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19035,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19036,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19037,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19038,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19039,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19040,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19041,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19042,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19043,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19044,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19045,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19046,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19047,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19048,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19049,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19050,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19051,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19052,0,0.0,2.0,0.0,0.0,1.0,0.0,1
19053,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19054,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19055,0,0.0,2.0,0.0,0.0,1.0,0.0,1
19056,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19057,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19058,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19059,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19060,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19061,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19062,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19063,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19064,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19065,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19066,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19067,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19068,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19069,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19070,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19071,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19072,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19073,0,0.0,1.0,0.0,0.0,1.0,0.0,0
19074,0,0.0,2.0,0.0,0.0,1.0,0.0,1
19075,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19076,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19077,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19078,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19079,0,0.0,2.0,0.0,0.0,1.0,0.0,1
19080,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19081,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19082,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19083,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19084,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19085,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19086,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19087,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19088,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19089,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19090,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19091,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19092,0,0.0,2.0,0.0,0.0,1.0,0.0,1
19093,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19094,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19095,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19096,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19097,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19098,1.0,100.0,0.0,0.0,0.0,0.0,1.0,1
19099,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19100,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19101,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19102,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19103,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19104,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19105,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19106,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19107,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19108,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19109,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19110,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19111,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19112,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19113,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19114,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19115,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19116,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19117,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19118,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19119,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19120,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19121,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19122,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19123,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19124,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19125,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19126,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19127,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19128,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19129,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19130,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19131,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19132,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19133,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19134,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19135,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19136,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19137,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19138,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19139,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19140,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19141,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19142,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19143,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19144,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19145,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19146,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19147,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19148,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19149,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19150,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19151,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19152,0,0.0,2.0,0.0,0.0,1.0,0.0,0
19153,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19154,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19155,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19156,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19157,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19158,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19159,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19160,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19161,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19162,0,0.0,2.0,0.0,0.0,1.0,0.0,1
19163,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19164,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19165,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19166,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19167,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19168,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19169,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19170,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19171,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19172,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19173,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19174,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19175,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19176,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19177,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19178,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19179,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19180,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19181,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19182,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19183,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19184,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19185,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19186,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19187,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19188,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19189,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19190,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19191,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19192,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19193,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19194,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19195,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19196,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19197,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19198,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19199,1.0,100.0,0.0,0.0,0.0,0.0,1.0,1
19200,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19201,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19202,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19203,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19204,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19205,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19206,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19207,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19208,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19209,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19210,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19211,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19212,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19213,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19214,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19215,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19216,0,0.0,1.0,0.0,0.0,1.0,0.0,0
19217,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19218,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19219,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19220,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19221,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19222,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19223,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19224,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19225,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19226,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19227,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19228,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19229,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19230,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19231,0,0.0,1.0,0.0,0.0,1.0,0.0,1
19232,0,0.0,1.0,0.0,0.0,1.0,0.0,1
